,TCGA-86-A4P7-01A-11R-A24X-07,TCGA-55-7816-01A-11R-2170-07,TCGA-99-8033-01A-11R-2241-07,TCGA-62-8395-01A-11R-2326-07,TCGA-97-8547-01A-11R-2403-07,TCGA-91-8496-01A-11R-2403-07,TCGA-86-7953-01A-11R-2187-07,TCGA-05-5715-01A-01R-1628-07,TCGA-71-8520-01A-11R-2403-07,TCGA-55-6986-01A-11R-1949-07,TCGA-38-4630-01A-01R-1206-07,TCGA-49-AAQV-01A-11R-A39D-07,TCGA-44-3919-01A-02R-1107-07,TCGA-62-8397-01A-11R-2326-07,TCGA-73-7499-01A-11R-2187-07,TCGA-86-A4P8-01A-11R-A24X-07,TCGA-62-8402-01A-11R-2326-07,TCGA-44-2665-01A-01R-0946-07,TCGA-86-8075-01A-11R-2241-07,TCGA-05-4402-01A-01R-1206-07,TCGA-86-8280-01A-11R-2287-07,TCGA-78-7540-01A-11R-2066-07,TCGA-50-6673-01A-11R-1949-07,TCGA-49-4501-01A-01R-1206-07,TCGA-44-2661-01A-01R-1107-07,TCGA-97-8177-01A-11R-2287-07,TCGA-50-6597-01A-11R-1858-07,TCGA-62-A46Y-01A-11R-A24H-07,TCGA-38-4628-01A-01R-1206-07,TCGA-38-6178-01A-11R-1755-07,TCGA-55-8619-01A-11R-2403-07,TCGA-69-7760-01A-11R-2170-07,TCGA-86-7713-01A-11R-2066-07,TCGA-86-8672-01A-21R-2403-07,TCGA-05-5429-01A-01R-1628-07,TCGA-86-8076-01A-31R-2241-07,TCGA-55-8505-01A-11R-2403-07,TCGA-86-7955-01A-11R-2187-07,TCGA-55-6978-01A-11R-1949-07,TCGA-86-7701-01A-11R-2170-07,TCGA-86-8585-01A-11R-2403-07,TCGA-50-5066-01A-01R-1628-07,TCGA-35-3615-01A-01R-0946-07,TCGA-95-8039-01A-11R-2241-07,TCGA-93-A4JP-01A-11R-A24X-07,TCGA-86-8279-01A-11R-2287-07,TCGA-55-7815-01A-11R-2170-07,TCGA-55-8206-01A-11R-2241-07,TCGA-86-6562-01A-11R-1755-07,TCGA-55-6980-01A-11R-1949-07
ENSG00000177108,5,0,0,1,0,0,2,0,8,6,17,0,0,0,0,7,992,0,1,0,2,0,2,12,0,1,1,1,28,2,4,0,1,0,0,1,1,0,1,1,0,0,2,1,0,1,0,1,1,0
ENSG00000248300,0,514,0,0,0,1,2,1,1,1,0,0,2,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1
ENSG00000142515,1,0,0,1,0,0,152,0,2,0,0,1,0,0,53,2,0,0,0,0,0,3,0,3,0,4,0,0,1,0,1,2,1,1,1,2,0,0,0,1,0,0,0,1,1,0,0,1,1,0
ENSG00000125255,4,0,0,1,0,1,6,24,2,2,2,0,4,18,0,3,2,0,0,3,30,2,2,33,4,54,0,0,0,0,4,0,0,0,8,1,0,2,4,1,0,15,1,0,0,2,0,5,2,1
ENSG00000230805,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,94,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000270816,1,21,1,1,0,0,1,0,0,0,77,2,2,0,33,1,3,0,0,674,2,0,437,5,0,0,0,0,1,0,0,0,0,0,0,7,0,0,1,4,0,3,0,1,11,0,0,0,1,0
ENSG00000161055,6708,88,715,3678,68,1217809,519,766,192,1381,32,13316,32349,84,158685,14823,5706,140,4290,9158,39974,220,1974,25195,20563,147587,538,7760,29154,364,4886,21,155,49,674,9992,37,155,622,229,2373,1321,1456,2643,651,2503,2,10212,1888,987
ENSG00000092054,0,6,1,3,0,0,1,5,0,0,142,15,10,0,3345,1,19,0,0,5,4,0,28,1,2,8,3,5,1,1,1,1,3,1,2,10,0,2,5,0,1,1,1,15,0,0,0,2,1,0
ENSG00000253593,6,8,1,18,0,21,5,3,5,2,1,79,3,533,2,148,1,5,0,0,13,2,21,24,223,734,0,3,1,0,3,2,1,4,0,4,4,1,1,2,2,10,4,8,0,2,2,11,0,3
ENSG00000152092,8,2574,1,21,5,2,9,2,5,15,166,6,26,6,37,10,0,18,16,11,21,7,8,78,7,4,6,2,1,6,6,5,2,0,1,10,0,3,4,5,1,11,4,12,15,1,0,42,3,4
ENSG00000169594,6,19682,8,4,4,3,2,0,4,51,15,0,2,1,4,2,3,6,3,36,25,12,5,81,14,9,0,5,5,28,4,29,0,1,8,6,10,0,40,5,4,2,0,8,6,2,2,13,4,5
ENSG00000204248,113,43,462,87,35,5,47,4,38,7,544,271,39,37,41,242,48,81,210,112,141,31,9,79,25,50,239,41,29,294,62,61,30,56,5,68,51,37,34,4,44,40,24,80,124,148,0,145,5,13
