,TCGA-55-6982-01A-11R-1949-07,TCGA-62-8397-01A-11R-2326-07,TCGA-62-8402-01A-11R-2326-07,TCGA-49-4501-01A-01R-1206-07,TCGA-50-6597-01A-11R-1858-07,TCGA-38-4628-01A-01R-1206-07,TCGA-44-2661-01A-01R-1107-07,TCGA-97-A4M6-01A-11R-A24X-07,TCGA-55-6986-01A-11R-1949-07,TCGA-78-7540-01A-11R-2066-07,TCGA-50-6673-01A-11R-1949-07,TCGA-62-A46Y-01A-11R-A24H-07,TCGA-05-5715-01A-01R-1628-07,TCGA-71-8520-01A-11R-2403-07,TCGA-78-7143-01A-11R-2039-07,TCGA-86-8280-01A-11R-2287-07,TCGA-99-8033-01A-11R-2241-07,TCGA-86-8278-01A-11R-2287-07,TCGA-97-8552-01A-11R-2403-07,TCGA-67-6216-01A-11R-1755-07,TCGA-67-3772-01A-01R-0946-07,TCGA-86-A4P8-01A-11R-A24X-07,TCGA-97-8547-01A-11R-2403-07,TCGA-91-8496-01A-11R-2403-07,TCGA-44-3919-01A-02R-1107-07,TCGA-86-7953-01A-11R-2187-07,TCGA-05-4402-01A-01R-1206-07,TCGA-62-8395-01A-11R-2326-07,TCGA-91-8497-01A-11R-2403-07,TCGA-55-7816-01A-11R-2170-07,TCGA-86-A4P7-01A-11R-A24X-07,TCGA-55-8505-01A-11R-2403-07,TCGA-86-7713-01A-11R-2066-07,TCGA-86-7955-01A-11R-2187-07,TCGA-55-6980-01A-11R-1949-07,TCGA-55-6978-01A-11R-1949-07,TCGA-93-A4JP-01A-11R-A24X-07,TCGA-05-5429-01A-01R-1628-07,TCGA-35-3615-01A-01R-0946-07,TCGA-50-5066-01A-01R-1628-07,TCGA-86-8279-01A-11R-2287-07,TCGA-69-7760-01A-11R-2170-07,TCGA-86-6562-01A-11R-1755-07,TCGA-95-8039-01A-11R-2241-07,TCGA-55-7815-01A-11R-2170-07,TCGA-86-8672-01A-21R-2403-07,TCGA-55-8206-01A-11R-2241-07,TCGA-86-8076-01A-31R-2241-07,TCGA-86-7701-01A-11R-2170-07,TCGA-86-8585-01A-11R-2403-07
ENSG00000177108,0,0,992,12,1,28,0,1,6,0,2,1,0,8,0,2,0,2,2,0,2,7,0,0,0,2,0,1,10,0,5,1,1,0,0,1,0,0,2,0,1,0,1,1,0,0,1,1,1,0
ENSG00000248300,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,1,0,2,1,0,0,1,0,1,2,2,1,0,4,514,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0
ENSG00000142515,0,0,0,3,0,1,0,0,0,3,0,0,0,2,9,0,0,0,1,1,0,2,0,0,0,152,0,1,8,0,1,0,1,0,0,0,1,1,0,0,0,2,1,1,0,1,1,2,1,0
ENSG00000125255,0,18,2,33,0,0,4,0,2,2,2,0,24,2,0,30,0,0,2,0,0,3,0,1,4,6,3,1,18,0,4,0,0,2,1,4,0,8,1,15,2,0,2,0,0,0,5,1,1,0
ENSG00000230805,0,0,94,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000270816,0,0,3,5,0,1,0,2,0,0,437,0,0,0,3,2,1,6,0,2,1,1,0,0,2,1,674,1,0,21,1,0,0,0,0,1,11,0,0,3,0,0,1,1,0,0,0,7,4,0
ENSG00000161055,2119,84,5706,25195,538,29154,20563,1565,1381,220,1974,7760,766,192,8104,39974,715,145,109471,4451,51508,14823,68,1217809,32349,519,9158,3678,19146,88,6708,37,155,155,987,622,651,674,1456,1321,2503,21,1888,2643,2,49,10212,9992,229,2373
ENSG00000092054,10,0,19,1,3,1,2,9,0,0,28,5,5,0,1,4,1,1,6,0,1,1,0,0,10,1,5,3,0,6,0,0,3,2,0,5,0,2,1,1,0,1,1,15,0,1,2,10,0,1
ENSG00000253593,0,533,1,24,0,1,223,2,2,2,21,3,3,5,1,13,1,328,0,245,96,148,0,21,3,5,0,18,2,8,6,4,1,1,3,1,0,0,4,10,2,2,0,8,2,4,11,4,2,2
ENSG00000152092,2,6,0,78,6,1,7,23,15,7,8,2,2,5,4,21,1,32,11,12,12,10,5,2,26,9,11,21,41,2574,8,0,2,3,4,4,15,1,4,11,1,5,3,12,0,0,42,10,5,1
ENSG00000169594,1,1,3,81,0,5,14,1,51,12,5,5,0,4,8,25,8,3,3,80,9,2,4,3,2,2,36,4,3,19682,6,10,0,0,5,40,6,8,0,2,2,29,4,8,2,1,13,6,5,4
ENSG00000204248,17,37,48,79,239,29,25,115,7,31,9,41,4,38,98,141,462,238,107,34,15,242,35,5,39,47,112,87,59,43,113,51,30,37,13,34,124,5,24,40,148,61,5,80,0,56,145,68,4,44
