,TCGA-38-4630-01A-01R-1206-07,TCGA-44-2661-01A-01R-1107-07,TCGA-J2-8192-01A-11R-2241-07,TCGA-62-8397-01A-11R-2326-07,TCGA-49-AAQV-01A-11R-A39D-07,TCGA-91-8497-01A-11R-2403-07,TCGA-55-8619-01A-11R-2403-07,TCGA-55-7816-01A-11R-2170-07,TCGA-86-8671-01A-11R-2403-07,TCGA-50-6673-01A-11R-1949-07,TCGA-91-8496-01A-11R-2403-07,TCGA-38-4628-01A-01R-1206-07,TCGA-86-8668-01A-11R-2403-07,TCGA-97-8552-01A-11R-2403-07,TCGA-67-6215-01A-11R-1755-07,TCGA-62-A46Y-01A-11R-A24H-07,TCGA-78-7540-01A-11R-2066-07,TCGA-97-A4M6-01A-11R-A24X-07,TCGA-67-6216-01A-11R-1755-07,TCGA-97-8547-01A-11R-2403-07,TCGA-49-4501-01A-01R-1206-07,TCGA-78-7143-01A-11R-2039-07,TCGA-05-5715-01A-01R-1628-07,TCGA-05-4402-01A-01R-1206-07,TCGA-50-6591-01A-11R-1755-07,TCGA-55-6982-01A-11R-1949-07,TCGA-86-8280-01A-11R-2287-07,TCGA-50-6597-01A-11R-1858-07,TCGA-86-A4P8-01A-11R-A24X-07,TCGA-73-7499-01A-11R-2187-07,TCGA-99-8033-01A-11R-2241-07,TCGA-35-3615-01A-01R-0946-07,TCGA-50-5066-01A-01R-1628-07,TCGA-93-A4JP-01A-11R-A24X-07,TCGA-86-7713-01A-11R-2066-07,TCGA-86-8076-01A-31R-2241-07,TCGA-86-8672-01A-21R-2403-07,TCGA-86-8585-01A-11R-2403-07,TCGA-86-7701-01A-11R-2170-07,TCGA-55-6980-01A-11R-1949-07,TCGA-86-7955-01A-11R-2187-07,TCGA-55-6978-01A-11R-1949-07,TCGA-05-5429-01A-01R-1628-07,TCGA-86-6562-01A-11R-1755-07,TCGA-55-7815-01A-11R-2170-07,TCGA-95-8039-01A-11R-2241-07,TCGA-69-7760-01A-11R-2170-07,TCGA-86-8279-01A-11R-2287-07,TCGA-55-8206-01A-11R-2241-07,TCGA-55-8505-01A-11R-2403-07
ENSG00000177108,17,0,1,0,0,10,4,0,0,2,0,28,0,2,1,1,0,1,0,0,12,0,0,0,14,0,2,1,7,0,0,2,0,0,1,1,0,0,1,0,0,1,0,1,0,1,0,1,1,1
ENSG00000248300,0,0,0,0,0,4,0,514,2,0,1,0,0,1,0,0,0,0,0,0,1,0,1,1,152,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0
ENSG00000142515,0,0,2,0,1,8,1,0,1,0,0,1,0,1,0,0,3,0,1,0,3,9,0,0,0,0,0,0,2,53,0,0,0,1,1,2,1,0,1,0,0,0,1,1,0,1,2,0,1,0
ENSG00000125255,2,4,0,18,0,18,4,0,11,2,1,0,14,2,1,0,2,0,0,0,33,0,24,3,5,0,30,0,3,0,0,1,15,0,0,1,0,0,1,1,2,4,8,2,0,0,0,2,5,0
ENSG00000230805,0,0,1,0,1,2,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000270816,77,0,0,0,2,0,0,21,1,437,0,1,0,0,0,0,0,2,2,0,5,3,0,674,0,0,2,0,1,33,1,0,3,11,0,7,0,0,4,0,0,1,0,1,0,1,0,0,0,0
ENSG00000161055,32,20563,13811,84,13316,19146,4886,88,19271,1974,1217809,29154,74662,109471,315,7760,220,1565,4451,68,25195,8104,766,9158,1633,2119,39974,538,14823,158685,715,1456,1321,651,155,9992,49,2373,229,987,155,622,674,1888,2,2643,21,2503,10212,37
ENSG00000092054,142,2,6,0,15,0,1,6,20,28,0,1,1,6,0,5,0,9,0,0,1,1,5,5,1,10,4,3,1,3345,1,1,1,0,3,10,1,1,0,0,2,5,2,1,0,15,1,0,2,0
ENSG00000253593,1,223,9,533,79,2,3,8,91,21,21,1,2,0,100,3,2,2,245,0,24,1,3,0,0,0,13,0,148,2,1,4,10,0,1,4,4,2,2,3,1,1,0,0,2,8,2,2,11,4
ENSG00000152092,166,7,42,6,6,41,6,2574,66,8,2,1,14,11,3,2,7,23,12,5,78,4,2,11,4017,2,21,6,10,37,1,4,11,15,2,10,0,1,5,4,3,4,1,3,0,12,5,1,42,0
ENSG00000169594,15,14,43,1,0,3,4,19682,22,5,3,5,8,3,3,5,12,1,80,4,81,8,0,36,20,1,25,0,2,4,8,0,2,6,0,6,1,4,5,5,0,40,8,4,2,8,29,2,13,10
ENSG00000204248,544,25,82,37,271,59,62,43,50,9,5,29,92,107,23,41,31,115,34,35,79,98,4,112,38012,17,141,239,242,41,462,24,40,124,30,68,56,44,4,13,37,34,5,5,0,80,61,148,145,51
